Лига Ставок, "Плюсы: Всеми способами не дают выиграть хорошую сумму Минусы: Нельзя выиграть Комментарий: Сделал ставку на белорусский баскетбол, 83000 по кеф 1,85. Ставка сыграла. Мне сразу блокернули карту. Позвонил в службу поддержки, мне сказали что проверка продлиться в течении 2х дней. Короче, через месяц мне разблокировали карту и ставка была рассчитана по кеф 1. На вопрос почему ? Получил ответ, "" мы считаем что вы знали результат "". Думайте сами.  ", 2015-04-18, 1, Otzovik.com, Аноним497060, " Всеми способами не дают выиграть хорошую сумму ", " Нельзя выиграть "
Лига Ставок, "Плюсы: Нету Минусы: Не доброжелательные менеджеры! Комментарий: Позвал меня друг играть. Сделала ставку 70.000 рублей на Берселона-ПСЖ. Выигрыш составил 417.300 рублей. КАРТУ СРАЗУ ЗАБЛОКИРОВАЛИ! Написала претензию, в конторе говорили что не волнуйтесь, заявки рассматривают быстро пару недель и вам дадут ответ! ХРЕН ТАМ!!! претензию рассматривают 30 дней. Сегодня тридцатый день и моя претензия до сих пор не рассмотрена, говорят ждите сегодня в течении дня рассмотрят!!! Так они говорят в течении недели - и ни каких движений.!!! Как человек выигрывает они блокируют карты и держат людей в неизвестности-что, почему и т д заблокировали карту и по какой причине не выдают деньги. Сегодня мне пришлось сдать билеты и с пятилетним ребенком ни ехать в санаторий! Шесть знакомых отказались после этого случая там играть. Если они сегодня не вернут выигрыш-ну чтож будем устраивать митинг сразу в двух конторах. Отвратительная контора!!!! Очень часто блокируют и не возвращают людям деньги!! ", 2015-05-22, 1, Otzovik.com, krimanna2010, " Нету ", " Не доброжелательные менеджеры! "
Лига Ставок, "Плюсы: если и есть какие то плюсы ...то от них толку 0.если вам в конечном итоге выигранные вами деньги не отдадут Минусы: больше 20т.р. не отдадут Комментарий: Выиграл в этой конторе 350 т. р они меня заблокировали, сказали что проверка продлиться сутки после чего мне дадут ответ. запросили паспортные данные. после этого они прислали мне ответ вот с таким содержанием...Уважаемый Максим Александрович!Согласно п. 3.24 Договора на участие в играх и пари Букмекерская компания приняла решение о расторжении с Вами настоящего Договора:""Букмекерская Компания оставляет за собой право в любой момент расторгнуть настоящий Договор в одностороннем порядке и прекратить регистрацию Клиента без объяснения причин.В этом случае Букмекерская Компания выплачивает Клиенту остаток его средств на Личном счете. При наличии активных ставок после их расчета выигрыши будут также выплачены Клиенту.""Баланс Вашего Личного счета № 108475524 составляет 0 руб.Личный счет № 108475524 заблокирован, в связи с расторжением Договора на участие в играх и пари.Кроме этого, сообщаем, что Вам отказано в возможности создать новый аккаунт в Системе.После чего я потребовал вернуть мне мои деньги которые я честно выиграл!!! как написано у них что после расторжения договора они обязуются выплатить выигранную сумму. На что в следующем письме они мне ответили следующее...[#452496]: >>: HA: 5WDQqoHOGoE.jpg, kmNHscyc5to.jpgLiga Stavok сегодня, 20:36Уважаемый Максим Александрович, Благодарим за обращение в службу поддержки Liga Stavok.По Вашим ставкам:№433268438268№747230854220№699917011415№963470627274произведен возврат с коэффициентом 1.Служба поддержки клиентов. тоесть они онулировали мне мой выигрышь !!! без обьяснения каких либо причин! и к тому же заблокировали мне мой акк чтоб больше не играл у них и не выигрывал!Так что думайте и решайте сами, но я вам настоятельно советую не играть в этой конторе. потому что денег вы просто не получите. ", 2016-10-03, 1, Otzovik.com, ruslan1992, " если и есть какие то плюсы ...то от них толку 0.если вам в конечном итоге выигранные вами деньги не отдадут ", " больше 20т.р. не отдадут "
Лига Ставок, "Плюсы: официальная организация Минусы: весь букмекерский бизнес это зло Комментарий: Главная проблема букмекерских контор в чем? В том, что случись чего, концов не найдешь. Париматч в Украине, Зенит в Белоруссии, Леон вообще за границей. У некоторых контор даже адреса и телефона обратной связи нет. Так что жаловаться некому будет в случае чего.Главный плюс бк ""Лига ставок"" в том, что у нее есть куча отделений в России, то что это единственная официальная букмекерка России, а значит правы клиентов защищены. Хотя бы условно, но защищены. Есть и минус официальности. Например, с выигрыша нужно платить 13% от суммы согласно закону о доходах.В остальном же эта контора мало чем отличается от других. Лично я проблем с выводом не имел, но уверен при необходимости ""нагреть"" меня сможет и Лига ставок.Спасибо за внимание! ", 2019-04-13, 1, Otzovik.com, champion-maks, " официальная организация ", " весь букмекерский бизнес это зло "
Лига Ставок, "Плюсы: Частые хорошие бонусы. Минусы: Коэффиценты ниже среднего. Комментарий: Доброго времени суток!В этом отзыве я расскажу вам о своих впечатлениях, а также достоинствах и недостатках букмекерской конторы Лига ставок.Я играю на тотализаторе уже не первый год, и успел поиграть на многих конторах. Не могу сказать что Лига ставок была лучшей, но и худшей я её не назову.Ну начнём с плюсов.Во-первых очень качественный сервис. Как на сайте, так и в любом отделении принятия ставок. Сколько раз им звонил, или пытался выяснить что-то, всегда мне всё очень вежливо объясняли. Ни кто ни когда не грубил. Не часто такое увидишь.Во-вторых удобство расположения, если вы используете не сайт. С сайтом всё понятно: зашёл, ставку сделал и вышел. А вот если вы хотите поставить не на сайте, то найдёте ее практически в любом городе.В-третьих удобство на самом сайте. Удачно выполнено меню, и вы легко можете отследить, что вы уже в несли в заявочный лист, хорошо работает режим Live отслеживания ставок. Так же мне понравилось что можно отследить ставку сделанную в пункте приёма ставок, то есть оффлайн, на самом сайте. Достаточно просто ввести номер ставки в специальное окошко. В-четвертых это то что сайт сам даёт прогнозы на некоторые, самые важные матчи этого дня, с полной характеристикой: История противостояния этих команд, их последние матчи, кто в какой форме, сколько обычно голов забивает и пропускает и т. д.Так же есть вещи которые мне не понравились, и из за которых, эту контору я лучшей не могу назвать.В-пятых постоянные конкурсы и розыгрыши разных призов. Жалко только убрали акцию ""Бонус на экспресс"", очень выгодная акция была.Во-первых низкие коэффиценты. Я поиграл в многих конторах, и точно могу судить, в Лиге ставок коэффиценты порой бывают ниже среднего, что очень не радует. Самые большие коэффиценты, из всех контор в которых я играл, самые большие были в конторе Марафон.Во-вторых время ожидания. Порой выплаты ставки жду часами после завершения матча. Может они их там в ручную рассчитывают, или боятся выплатить не то и не туда, не знаю... Но вот ждать приходиться порой долго. В некоторых конторах ждал по 10 минут, а тут такого нет почему-то. Быстро выплачиваются только ставки лайв. Да и сам режим лайв быстро обновляется.В-третьих не понравился режим ставок на виртуальный спорт. Сколько я пытался там поставить, только проигрывал. Причём ставил на команду, идущую на первом месте и играющую против последней, она проигрывала. Ставил ТБ 2.5 на самую забивающую, играли 0:0.В общем очень мутный раздел, даже не суйтесь туда.Могу посоветовать эту контору новичкам, желающим разобраться во всех этих конторах.Спасибо за внимание! ", 2013-12-23, 5, Otzovik.com, Kaachey, " Частые хорошие бонусы. ", " Коэффиценты ниже среднего. "
Лига Ставок, "Плюсы: удобно, быстро, неплохие коэффециенты Минусы: всегда можно проиграть Комментарий: Всем привет, сегодня расскажу о компании лига ставок, с другими букмейкерами не взаимодействовала, так как лига ставок самая территориально удобная для меня контора. Читала много отзывов люди говорят, что есть компании у которых коэффециенты повыше...Много негативных отзывов по поводу того, что большие выигрыши компания не отдает, я не знаю, миллионы не выигрывала ни разу)То что выигрывала мне всегда отдавалиНекоторые люди например раз в неделю покупают лотерейные билеты и надеются на удачу, вот то же самое у меня раз в два года, стандарт чемпионат мира и европы я всегда ставлю. Ставлю только на футбол. В общем я человек не азартный наверное.В общем-то все просто как и у всех, вы можете сделать ставку по паспорту, но тогда вам придется заплатить налог 13% с вашего выигрыша, если он будет. А можно завести пластиковую карту и тогда налог платить не нужно, кроме того можно ставить не в конторе а через интернет сайт компании, для этого привязывают кредитку к аккаунту, можно привязать яндекс деньги.Я никогда через сайт не ставила поэтому профан в этом деле.Я завела себе пластиковую карточку и ставлю непосредственно в конторе.Вот так выглядит карточкаДве последние цифры на ней это повторение числа моего рождения, считаю карту счастливой, так как досталась она мне с таким номером рандомно)Забыла сказать, когда ставишь на что-то становишься суеверным)Мой знакомый, например никогда не говорит на что конкретно и какие ставки он делает, считает, что если расскажет, то ставка не ""сыграет""Как-то так...Оборотная сторона карты там номер, по которому можно звонить и все узнавать, об этом чуть позже.Ну так вот далее о работе конторы Лига ставок, скажу сразу офисов во всей Москве достаточно много, вы можете ставить и снимать деньги везде, а можете поставить в Москве, выиграть, а получить выигрыш в любом отделении Лига ставок по всей РоссииВ общем удобно, но для этого нужен паспорт.Так вот о том как принимаются ставки, чтобы поставить нужно положить деньги на карту, сделать это можно в конторе, вы приносите паспорт, деньги и карту.Вот фото конторы, кстати в Москве они все оформлены в одном стиле)Залы все разные вот большой зална стенах телевизоры они транслируют разные собития, футбол, теннис, волейбол и тд)а вот офис возле станции метро Партизанская очень маленький, конкретно на фото зал во время игры 1/8 Франция с кем-то там, я не помню, так как не ставила на эту игру.А вот удобства в другом офисе компании: кулер с холодной и горячей водойНа столе сахар, чай, кофе и молоко, все для удобства клиентов, можно пить чай и кофе своодно, скоько влезет, ну или пока вода в кулере не кончится.а вот и туалет, ну мало ли вас прихватило, перепили вы чая)кстати в туалете очень чистоМыло, салфетки, горячая вода, все по ГОСТуДалее еще немного о залеИнформационный стенд, очень важная информация о приеме ставок и о том, как нужно себя вести в конторе, эту инфу никто не читает обычно, но стенд есть. Кстати нет книги отзывов и предложений, а это уже не по ГОСТу.А вот стенд ""Наши чемпионы""Вот например ставка в 30 000 рублей по коэффециент 5, которая взошла и выигрыш составил 150 000, но если присмотреться таких ставок меньше 20-ти и сделаны они были в течении года, то есть процент выигрышей маленький, это по ГОСТу)))Про зал все, теперь о главном как все работает.Мы уже с вами положили деньги на карту и теперь мы можем сделать ставку или, как это называется грамотно заключить пари с конторой Лига ставок.Для этого у нас два варианта либо мы садимся за компьютер и делаем все через него, возле каждого компьютера есть специальная штука на которую кладут карточку и она отображается в системе. Но у этого варианта есть недостаток, если вы ставите много, то никаких квитанций у вас нет и вы можете забыть что и на кого ставили, а на сайте не остается информации о ставках. В таком случае мы с вами звоним в компанию (номер телефона на обороте карты) и оператор рассказывает нам, какие у нас есть ставки.Или мы с вами ставим через девушку, которая сидит в окошке (в каждой точке всего одна девушка).Я ставлю через девушку и мне выдают квитанцию вот онаквитанция носит информационный характер вверху номер квитанции (см №7720 и тд) этот номер мы можем забить на сайте и увидим исход пари, взошло не взошло, на случай если забыли о пари и не смотрели игру.На квитанции ставка одинар на одно событие Уругвай - Россия поставила я 16.06 игра была 25.06 мой выигрыш составил 2 600 рублей, мне вернули ставку и выигранные деньги по коэффециенту 2,30.Вообще на сайте много вариантов ставок, на каждое собитие не менее 50 вариантов ставок, можно ставить не только на исход, но и на то кто забъет первый гол, в чью пользу кончится 1 и 2 тайм, двойной шанс, например ставим на то, что выиграет Уругвай или ничья, такие ставки выглядят примерно так Исход 1Х. В общем ставок вагон, можно ставить на все)Кроме одинаров есть экспрессы это когда вы ставите на несколько событий одновременно и вы выигрываете, если все эти события произошли. Смысл в том, что коэффециенты в таких ставках перемножаются и в итоге выигрыш может быть большим. Вот пример моей ставки экспресс. Коэффециент у меня получился 4,29 я ставила 3 000 и выиграла 12 870 вычитаем мою ставку 3 000 и получаем 9 870.Когда вы плучаете свой выигрыш вам дают чекПолучить выигрыш можно при наличие карточки и паспорта.Я раньше никогда не ставила на групповой этап, всегда начинала ставить с плей-оффа, но в этом году отпуск раньше и поэтому посавила только на групповые игры.Сделала 18 ставок, 6 из которых оказались выигрышными.Итого процент успешности у меня составил 33%По итогам я получила 16 000 с копейкамиБыли и проигрышиНапример экспресс Япония - Колумбия, Польша Сенегалодинар Германия - МексикаИ естественно ничьи в играх Порту и Испании со сборными Ирана и МороккоШвейцария - Коста РиккаПроиграла я 4 620 рублей.В общем контора платит, если вы выигрываете, но выигрыш зависит от случая. Например кто ждал, что Германия проиграет Южной Корее)))Сегодня играет Англия - Бельгия, я бы поставила на ничью) но после Германии вчера, мой мир рухнул)))Всем удачных пари и хорошей интуиции) ведь как выяснилось, только она может помочь) ", 2018-06-28, 5, Otzovik.com, Михриниса, " удобно, быстро, неплохие коэффециенты ", " всегда можно проиграть "
Лига Ставок, "Плюсы: не выявлено Минусы: всё очень плохо Комментарий: Я поставил 500р на футбольный матч касива-чонбук, что касива забьёт следующий гол, счёт был 1-0 в её пользу, зашёл в личный кабинет, проверил-всё так и пошёл обедать, прихожу счёт 2-0, обрадовался, ведь коф. был 2,37, зашёл в личный кабинет, всё верно 2-0 касива забила, пошёл на кухню за чаем, прихожу и онемел, в личном кабинете висит уже другой матч мацумото-хиросима счёт 1-1, проиграл, я звонить в контору, мол так итак, им пох на всё, говорят, что я мол ошибся, предоставьте фото видео материалы и тогда, может быть, если повезёт, мы рассмотрим этот вопрос, а какие фото-видео материалы могут быть, если я ставлю через интернет. Также и деньги хрен выведешь, уже прислал им копию паспорта, один хрен не вывел, так что я пришёл к такому выводу, что эта не лига ставок, а лига обмана лохов типа меня, не играйте с этой шняговой конторой! ", 2015-04-22, 1, Otzovik.com, Багор, " не выявлено ", " всё очень плохо "
Лига Ставок, "Плюсы: Неплохое развлечение на досуге . Минусы: Можно чересчур увлечься и проиграть все, осторожность превыше всего. Комментарий: Чуть больше года назад мы узнали, что есть такая букмекерская контора, как ""Лига ставок"", а мы любители иногда посетить казино на отдыхе, в пределах разумного конечно, да и потом увидели их рекламу повсюду, и на чемпионате мира по футболу, да и по городу постоянно видна их вывеска, а может я просто до этого не обращала внимания. И вот чтобы принять участие в ставках надо иметь при себе всего лишь паспорт, для регистрации придется один раз лично посетить их контору, и потом уже можно установить приложение в телефоне и играть онлайн. Так выглядит главная заставка Лиги ставок, полностью зеленый фон, видимо по поверью приносящий деньги, главное только разобраться кому именно.После регистрации получаешь логин и пароль, последнее можно менять на свое усмотрение. Дальше чтобы начать играть надо завести деньги, для это необходимо привязать карту, виза и мастеркард работает без проблем, можно заводить деньги через яндекс, связной, вебмани, или на крайний случай с телефона. Каждый выбирает свой способ, но стоит учитывать если с телефона, то берется процент.Минимальную сумму которую можно заводить это 10 рублей. После того, как деньги придут на счет, надо определиться на какой вид спорта делать ставку. Выбор большой, но конечно же зависит еще и от сезона, как известно футбол в декабре уходит на каникулы, но есть хоккей и другие виды спорта. Неплохо бы конечно хотя бы немного разбираться кто на каком месте, но игра все равно есть игра, и иногда исход бывает очень непредсказуемым.Выбрать можно, как кто играет непосредственно в онлайн сейчас, так и сделать предварительные ставки на ближайший месяц. Так можно увидеть уже кто играет на данный момент, некоторые игры поддерживают видео, и можно увидеть в онлайне, но все равно немного притормаживает если смотреть эту же игру например по телевизору.Ставки на что именно ставить выбирает каждый сам, пари можно заключать там на все что угодно, как на выигрыш команды, так и на сколько мячей забьют, сколько желтых карточек получат и т. д. Например выглядит вот так.Конечно 100% выиграть все невозможно, поэтому без проигрышей здесь тоже не обойтись, главное не увлекаться, и отслеживать чтобы проигрыш не превысил выигрыш. Выигранные деньги выводятся на карту которая привязана к этому же аккаунту. Раньше брали проценты, но в последнее время практически ничего не берут за вывод. Деньги выводятся от 1000 руб, без проблем вывести можно и крупные суммы. Максимум по времени это занимает пару часов, а обычно в течении 15 минут.С целью заработка рассматривать не советую, для этого надо слишком хорошо в ставках разбираться, иначе можно остаться без ""штанов"" это затягивает очень сильно. Но как развлечение, сродни казино почему бы и нет, 100-200 рублей всегда можно поставить, кто знает может и повезет.P.S Жаль фото модераторы удалили, оказывается нельзя выставлять.))) ", 2018-12-11, 5, Otzovik.com, Elenka0417, " Неплохое развлечение на досуге . ", " Можно чересчур увлечься и проиграть все, осторожность превыше всего. "
Лига Ставок, "Плюсы: работающая служба поддержки клиентов Минусы: мутность в работе и мнительность, что их обманывают Комментарий: Всем привет! После появления шальной суммы денег имел глупость связаться со ставками на спорт и как говориться одна глупость порождает другую, а именно связался с этой ""букмекерской конторой"". Всё шло гладко, но не долго... Буквально спустя всего 10 ставок мне отменили маленькую такую ставочку на 350 рублей и порезали максимумы до 200 рублей. Естественно я как наивный албанский школьник ринулся с вопросами в службу поддержки, где мне дали следующий ответ: Уважаемый клиент, рекомендуем Вам ознакомиться с общими положениями правил приема ставок. Далее я попытался уточнить, что же всё таки я нарушил, и получил более развёрнутый ответ: Уважаемый клиент, Вы пытаетесь обойти Компанию, ставя вилки и также делая ставки на технические ошибки. Вообще комедия, с грустным финалом. Но хоть теперь почитал про вилки :))) Свёл дебет с кредитом и выяснил, что я облапошил контору на целых 187 рублей :))) Проверил историю своих ставок и никаких вилковых не обнаружил. Мда походу они решили, что змею надо гасить пока она маленькая :))) Может им вообще надо просто так свои лишние деньги в офис приносить и не делать ни каких ставок, зачем лишняя суета, а то вдруг ты выиграешь и они останутся без твоих кровных, и придётся тебе лапшу на уши навешивать. Теперь осталось каким-то макаром вывести из этой шараги, оставшиеся там 1328 рублей, лучше на них поиграть в другой конторе, более порядочной.  ", 2013-08-15, 1, Otzovik.com, den55113, " работающая служба поддержки клиентов ", " мутность в работе и мнительность, что их обманывают "
Лига Ставок, "Плюсы: Хорошие салоны. Минусы: Пустая трата времени. Комментарий: Доброе время суток, друзья.В общей сложности в БК ""Лига Ставок"" играл и оставлял деньги около четырех лет. Все пытался выиграть большие деньги.Почему я игра именно там? Мне нравилось салоны, в них качественная мебель, красивые женщины и бесплатные карандаши. Да и мобильное приложение, простое, как пять копеек. Сделано все для клиента, для удобства и комфорта, для добровольного проигрыша своих денег.По вопросу выплат. Мне контора всегда выплачивала выигрыш в полном объеме. Правда, выигрыши были максимум 42 000 рублей. После эти деньги, уходили на ставки. Выходило 50/50 проигрыш/ выигрыш. Это бизнес, в котором все построено на проигрыш. Рано или поздно ты проиграешь - это классика. Лучше, дарите женщина цветы, приятные инвестиции в личную жизнь или путешествуйте, положительные эмоции не проиграешь.По вопросу: фри бетов. Это бонус сделан, для возвращения игроков обратно в пучину азарта. Контора, там почти не чего не теряет.Главное: не играйте на последние деньги, а так контора нормальная.Сегодня меня опять победил азарт, поставил на США баскетбол и проиграл. Увы, я проиграл. Денег не последние, но жалко. Наверное взрослею. ", 2019-08-23, 3, Otzovik.com, Budanov-78, " Хорошие салоны. ", " Пустая трата времени. "
